,Player (93),Pos.,Age,Exp.,Contract Terms,Avg. Salary,Guaranteed,Expires,Acquired
78,SimmonsLachavious Simmons,T,25,3,"8950001 yr $895,000","$895,000",-,2023,From Prac. Squad (CHI)
79,KeyesBopete Keyes,CB,24,3,"8950001 yr $895,000","$895,000",-,-,Reserve/Future
80,WhiteJavin White,LB,25,1,"8950001 yr $895,000","$895,000",-,2023,Free Agent
81,StanleyJayson Stanley,CB,25,1,"8250001 yr $825,000","$825,000",-,2023,Free Agent
82,CoulterIsaiah Coulter,WR,23,3,"8250001 yr $825,000","$825,000",-,-,Reserve/Future
83,JacksonLamar Jackson,CB,24,3,"8250001 yr $825,000","$825,000",-,-,Reserve/Future
84,JosephMichael Joseph,CB,27,3,"7050001 yr $705,000","$705,000",-,-,Reserve/Future
85,GatesDeMarquis Gates,OLB,26,1,"7050001 yr $705,000","$705,000",-,2023,
86,FinkeChris Finke,WR,26,2,"7050001 yr $705,000","$705,000",-,-,Claimed
87,EiselenDieter Eiselen,G,25,2,"7050001 yr $705,000","$705,000",-,-,Reserve/Future
88,LondonLaCale London,DE,25,2,"7050001 yr $705,000","$705,000",-,-,Reserve/Future
89,SnowdenCharles Snowden,DE,24,1,"7050001 yr $705,000","$705,000",-,-,Reserve/Future
90,NewsomeDazz Newsome,WR,23,1,"6600001 yr $660,000","$660,000",-,2023,To Prac. Squad
91,Graham Jr.Thomas Graham Jr.,CB,23,1,"6600001 yr $660,000","$660,000",-,2023,To Prac. Squad
92,KamaraSam Kamara,DT,24,2,"6600001 yr $660,000","$660,000",-,2023,To Prac. Squad
